epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,210.856,2.34106,0.83397,0.97838,0.61926,7.09421e-05,7.09421e-05,7.09421e-05
2,405.381,0.45406,0.92557,0.99691,0.21406,0.00012789,0.00012789,0.00012789
3,596.845,0.24643,0.95123,0.99755,0.15137,0.00017078,0.00017078,0.00017078
4,787.424,0.18193,0.94331,0.99794,0.14716,0.000149739,0.000149739,0.000149739
5,976.848,0.15658,0.95748,0.99786,0.12234,0.000128652,0.000128652,0.000128652
6,1183.22,0.13388,0.96105,0.99802,0.11211,0.000107565,0.000107565,0.000107565
7,1396.62,0.11983,0.96405,0.99818,0.11585,8.6478e-05,8.6478e-05,8.6478e-05
8,1613.81,0.10599,0.96603,0.99857,0.10578,6.5391e-05,6.5391e-05,6.5391e-05
9,1840.07,0.10527,0.96651,0.99818,0.10859,4.4304e-05,4.4304e-05,4.4304e-05
10,2050.9,0.10222,0.9673,0.99865,0.1013,2.3217e-05,2.3217e-05,2.3217e-05
